logon,{Y6O4-A7KC67IN-0899AOZK},01/04/2010 00:10:37,DTAA/KEE0997,PC-1914,Logon
logon,{O5Y6-O7CJ02JC-6704RWBS},01/04/2010 00:52:16,DTAA/KEE0997,PC-1914,Logoff
logon,{D2D1-C6EB14QJ-2100RSZO},01/04/2010 01:17:20,DTAA/KEE0997,PC-3363,Logon
logon,{H9W1-X0MC70BT-6065RPAT},01/04/2010 01:28:34,DTAA/KEE0997,PC-3363,Logoff
logon,{H3H4-S5AZ00AZ-9560IYHC},01/04/2010 01:57:30,DTAA/BJM0992,PC-3058,Logon
logon,{H1E4-U0IU16JR-6471SEGS},01/04/2010 02:01:26,DTAA/CLB0995,PC-1127,Logon
logon,{Z5C8-S3XM85HP-3642TRNY},01/04/2010 02:03:34,DTAA/CLB0995,PC-1127,Logoff
logon,{D0H4-Z7QP58CK-8444FHEU},01/04/2010 02:16:17,DTAA/BJM0992,PC-3058,Logoff
logon,{B1F6-Q3QQ10DK-0433PXKN},01/04/2010 02:25:16,DTAA/BJM0992,PC-0585,Logon
logon,{E4A8-D0KY75XA-8249HKXK},01/04/2010 02:30:13,DTAA/BJM0992,PC-0585,Logoff
logon,{G9P8-T9SO54NE-8925CJHZ},01/04/2010 02:39:10,DTAA/CRC0996,PC-0433,Logon
logon,{W1E9-N6CT54SQ-5435KQVJ},01/04/2010 03:04:45,DTAA/IRC0991,PC-2564,Logon
logon,{N6X2-M3JP49QF-8200OJGG},01/04/2010 03:06:53,DTAA/IRC0991,PC-2564,Logoff
logon,{O2G3-A8OY77SX-9144BEBN},01/04/2010 03:16:08,DTAA/CLN0999,PC-3570,Logon
logon,{G7D5-B7WV64MR-6297WXDI},01/04/2010 03:20:19,DTAA/CRC0996,PC-0433,Logoff
logon,{F1R1-X7YN85BC-8600ECPO},01/04/2010 03:26:35,DTAA/DSM0990,PC-4163,Logon
logon,{O6R9-J2KP59XU-1894BYQD},01/04/2010 03:32:38,DTAA/CLN0999,PC-3570,Logoff
logon,{T2A3-J9GX17TO-0075KKAM},01/04/2010 03:51:54,DTAA/DSM0990,PC-4163,Logoff
logon,{Q8D8-W9AS61AT-5411NKYP},01/04/2010 04:08:42,DTAA/CRC0996,PC-3916,Logon
logon,{I1T3-A7LO45SJ-9806BKBY},01/04/2010 04:17:35,DTAA/KEE0997,PC-1939,Logon
logon,{P2E0-V5BO28CD-8221HRPM},01/04/2010 04:20:52,DTAA/JCC0998,PC-0975,Logon
logon,{E5L2-B9KS84EF-4946MDYW},01/04/2010 04:25:47,DTAA/CRC0996,PC-3916,Logoff
logon,{G5L7-H4OI21DD-1632NRDO},01/04/2010 04:27:37,DTAA/JCC0998,PC-0975,Logoff
logon,{D3J7-D7GU80QH-9404JVZB},01/04/2010 04:33:46,DTAA/CLN0999,PC-2613,Logon
logon,{H3J5-S6WE36RA-8739NHSI},01/04/2010 04:58:04,DTAA/CRC0996,PC-3366,Logon
logon,{D9S1-U3EF52ZD-4210EUPJ},01/04/2010 05:01:16,DTAA/KEE0997,PC-1939,Logoff
logon,{T8Q7-B9NO59EG-0606KWKD},01/04/2010 05:05:45,DTAA/CLB0995,PC-1479,Logon
logon,{N6O7-Q2NM92PC-3727RTFV},01/04/2010 05:17:32,DTAA/CLN0999,PC-2613,Logoff
logon,{O6R2-V3PW20QP-8622RUHI},01/04/2010 05:17:53,DTAA/CLB0995,PC-1479,Logoff
logon,{L4E2-F8MO39KR-1460MYSD},01/04/2010 05:23:19,DTAA/CRC0996,PC-3366,Logoff
logon,{W6X9-A8RZ18JA-7470BOFD},01/04/2010 05:53:31,DTAA/CLB0995,PC-3815,Logon
logon,{Y0T1-A4BQ19WQ-3078CQAH},01/04/2010 05:57:58,DTAA/CLB0995,PC-3815,Logoff
logon,{K9Q5-G7FP44MG-3797DRAL},01/04/2010 06:21:49,DTAA/MCR0314,PC-0248,Logon
logon,{X8B9-A6BW21BP-0697EJUX},01/04/2010 06:23:16,DTAA/IGC0415,PC-4041,Logon
logon,{C4X3-T2VO99MZ-8071SSIZ},01/04/2010 06:25:10,DTAA/JCC0998,PC-2846,Logon
logon,{I0C6-Q9AW80AI-5286YZOX},01/04/2010 06:26:16,DTAA/CBP0628,PC-4750,Logon
logon,{D9S4-D4JJ80VN-8667EUMI},01/04/2010 06:27:17,DTAA/AJS0917,PC-2082,Logon
logon,{E4D5-T8SH33PE-2774EOUH},01/04/2010 06:27:35,DTAA/EBP0037,PC-2088,Logon
logon,{I2D5-V3IL15AF-0252UEQF},01/04/2010 06:29:33,DTAA/MBZ0932,PC-2560,Logon
logon,{Y9M5-V4FV54QM-3751ZODN},01/04/2010 06:30:25,DTAA/NLD0701,PC-1189,Logon
logon,{C2M4-U6KQ24IQ-9892JZQM},01/04/2010 06:30:27,DTAA/LSV0944,PC-2992,Logon
logon,{N9C1-B7NU06MJ-2614WKTT},01/04/2010 06:30:30,DTAA/LCL0792,PC-1506,Logon
logon,{Y3W9-P6EL25ZM-5691ZDOH},01/04/2010 06:32:20,DTAA/JHA0404,PC-3676,Logon
logon,{T8O4-Q8RQ99IE-0294IZSC},01/04/2010 06:35:17,DTAA/MWH0853,PC-3024,Logon
logon,{Z5P4-H1UD43BJ-8937ZJAS},01/04/2010 06:35:41,DTAA/OLR0984,PC-0846,Logon
logon,{N5F5-Y3WR76JE-5453DCES},01/04/2010 06:35:44,DTAA/CSC0297,PC-2848,Logon
logon,{T5K0-S4YB11HT-1689WDRI},01/04/2010 06:36:19,DTAA/NHH0566,PC-1651,Logon
logon,{B8U0-X8NK98QM-0702VJEJ},01/04/2010 06:36:26,DTAA/ACD0647,PC-3117,Logon
logon,{F4B1-B8OM22IK-7986DNOG},01/04/2010 06:37:06,DTAA/BFO0974,PC-2099,Logon
logon,{G5U0-W8JK29BK-2835XEIM},01/04/2010 06:38:10,DTAA/CDR0453,PC-1817,Logon
